run_name,run_end_time,match_status,checkpoint_path,time_diff_seconds,env_id,seed
atari_ddqn_gmp_sweep-Breakout-v5-S60-s1,2026-01-14T13:41:05.000Z,Match,/scratch/s5488079/models/1768368987/checkpoint_10000001.pt,2,ALE/Breakout-v5,1
atari_ddqn_gmp_sweep-Breakout-v5-S75-s1,2026-01-14T15:22:05.000Z,Match,/scratch/s5488079/models/1768373518/checkpoint_10000001.pt,3,ALE/Breakout-v5,1
atari_ddqn_gmp_sweep-Breakout-v5-S90-s1,2026-01-14T16:32:23.000Z,Match,/scratch/s5488079/models/1768379045/checkpoint_10000001.pt,3,ALE/Breakout-v5,1
atari_ddqn_gmp_sweep-Pong-v5-S60-s1,2026-01-14T18:15:36.000Z,Match,/scratch/s5488079/models/1768385731/checkpoint_10000001.pt,1,ALE/Pong-v5,1
atari_ddqn_gmp_sweep-Pong-v5-S75-s1,2026-01-14T20:44:10.000Z,Match,/scratch/s5488079/models/1768394748/checkpoint_10000001.pt,3,ALE/Pong-v5,1
atari_ddqn_gmp_sweep-Pong-v5-S90-s1,2026-01-14T21:44:37.000Z,Match,/scratch/s5488079/models/1768398701/checkpoint_10000001.pt,11,ALE/Pong-v5,1
atari_ddqn_gmp_sweep-SpaceInvaders-v5-S75-s1,2026-01-15T00:44:56.000Z,No Match,,,ALE/SpaceInvaders-v5,1
atari_ddqn_gmp_sweep-SpaceInvaders-v5-S90-s1,2026-01-15T00:30:22.000Z,No Match,,,ALE/SpaceInvaders-v5,1
atari_ddqn_gmp_sweep-Breakout-v5-S60-s2,2026-01-15T00:51:10.000Z,Weak Match (779s diff),/scratch/s5488079/models/1768408850/checkpoint_10000001.pt,779,ALE/Breakout-v5,2
atari_ddqn_gmp_sweep-Breakout-v5-S75-s2,2026-01-15T01:04:10.000Z,Match,/scratch/s5488079/models/1768408850/checkpoint_10000001.pt,1,ALE/Breakout-v5,2
atari_ddqn_gmp_sweep-SpaceInvaders-v5-S60-s2,2026-01-15T00:31:11.000Z,No Match,,,ALE/SpaceInvaders-v5,2
