env,iteration,avg_return
SpaceInvaders,0,715.0
SpaceInvaders,1,1720.0
SpaceInvaders,2,600.0
SpaceInvaders,3,1435.0
SpaceInvaders,4,1375.0
SpaceInvaders,5,990.0
SpaceInvaders,6,515.0
SpaceInvaders,7,1170.0
SpaceInvaders,8,605.0
SpaceInvaders,9,600.0
SpaceInvaders,10,490.0
SpaceInvaders,11,570.0
SpaceInvaders,12,600.0
SpaceInvaders,13,455.0
SpaceInvaders,14,540.0
SpaceInvaders,15,405.0
SpaceInvaders,16,550.0
SpaceInvaders,17,435.0
SpaceInvaders,18,1230.0
SpaceInvaders,19,600.0
Pong,0,18.0
Pong,1,11.0
Pong,2,14.0
Pong,3,11.0
Pong,4,16.0
Pong,5,-5.0
Pong,6,15.0
Pong,7,16.0
Pong,8,12.0
Pong,9,14.0
Pong,10,13.0
Pong,11,-6.0
Pong,12,8.0
Pong,13,-4.0
Pong,14,-11.0
Pong,15,6.0
Pong,16,7.0
Pong,17,8.0
Pong,18,7.0
Pong,19,3.0
Pong,20,2.0
Pong,21,-11.0
Pong,22,-8.0
Pong,23,-8.0
Pong,24,-19.0
Pong,25,-19.0
Breakout,0,277.0
Breakout,1,89.0
Breakout,2,74.0
Breakout,3,0.0
Breakout,4,89.0
Breakout,5,79.0
Breakout,6,10.0
Breakout,7,96.0
Breakout,8,0.0
Breakout,9,25.0
