"Name","State","Notes","User","Tags","Created","End Time","Runtime","Sweep","algorithm.batch_size","algorithm.epsilon.decay_fraction","algorithm.epsilon.end","algorithm.epsilon.start","algorithm.gamma","algorithm.learning_starts","algorithm.name","algorithm.network.encoder","algorithm.network.head","algorithm.network.hidden_dim","algorithm.optimizer.eps","algorithm.optimizer.lr","algorithm.optimizer.type","algorithm.target_network_frequency","algorithm.tau","algorithm.train_frequency","device","env.capture_video","env.clip_rewards","env.frame_stack","env.grayscale","env.id","env.noop_max","env.num_envs","env.resize","env.scale_obs","load_encoder_only","optimizer.eps","optimizer.lr","optimizer.type","output_dir","pruning.end_step","pruning.final_sparsity","pruning.initial_sparsity","pruning.method","pruning.scheduler","pruning.start_step","pruning.update_frequency","seed","train.buffer_size","train.checkpoint_interval","train.log_interval","train.total_timesteps","training.gradient_clip_norm","wandb.enabled","wandb.group","wandb.job_type","wandb.name","wandb.project","wandb.tags","initial_artifact","pruning.iqm_window_size","pruning.pruning_rate","pruning.rewind_to_step","train.delegate_stopping"
"atari_ddqn_gmp_sweep-Breakout-v5-S60-s1","finished","-","","0.6, 1, ALE/Breakout-v5, Breakout-v5, atari_ddqn_gmp_sweep, sparsity-0.6","2026-01-14T05:36:45.000Z","2026-01-14T13:41:05.000Z","29060","","32","0.2","0.05","1","0.99","80000","ddqn","nature_cnn","linear","512","1e-8","0.0001","adam","5000","1","4","cuda","false","true","4","true","ALE/Breakout-v5","30","1","84","false","false","1e-8","0.0001","adam","../models","6000000","0.6","0","gmp","cubic","1000000","10000","1","1000000","100000","100","10000000","10","true","atari_ddqn_gmp_sweep","train","atari_ddqn_gmp_sweep-Breakout-v5-S60-s1","atari-gmp","[""atari_ddqn_gmp_sweep"",""Breakout-v5"",""1"",""ALE/Breakout-v5"",""0.6"",""sparsity-0.6""]","","","","",""
"atari_ddqn_gmp_sweep-Breakout-v5-S75-s1","finished","-","","0.75, 1, ALE/Breakout-v5, Breakout-v5, atari_ddqn_gmp_sweep, sparsity-0.75","2026-01-14T06:52:01.000Z","2026-01-14T15:22:05.000Z","30604","","32","0.2","0.05","1","0.99","80000","ddqn","nature_cnn","linear","512","1e-8","0.0001","adam","5000","1","4","cuda","false","true","4","true","ALE/Breakout-v5","30","1","84","false","false","1e-8","0.0001","adam","../models","6000000","0.75","0","gmp","cubic","1000000","10000","1","1000000","100000","100","10000000","10","true","atari_ddqn_gmp_sweep","train","atari_ddqn_gmp_sweep-Breakout-v5-S75-s1","atari-gmp","[""atari_ddqn_gmp_sweep"",""Breakout-v5"",""1"",""ALE/Breakout-v5"",""0.75"",""sparsity-0.75""]","","","","",""
"atari_ddqn_gmp_sweep-Breakout-v5-S90-s1","finished","-","","0.9, 1, ALE/Breakout-v5, Breakout-v5, atari_ddqn_gmp_sweep, sparsity-0.9","2026-01-14T08:24:07.000Z","2026-01-14T16:32:23.000Z","29296","","32","0.2","0.05","1","0.99","80000","ddqn","nature_cnn","linear","512","1e-8","0.0001","adam","5000","1","4","cuda","false","true","4","true","ALE/Breakout-v5","30","1","84","false","false","1e-8","0.0001","adam","../models","6000000","0.9","0","gmp","cubic","1000000","10000","1","1000000","100000","100","10000000","10","true","atari_ddqn_gmp_sweep","train","atari_ddqn_gmp_sweep-Breakout-v5-S90-s1","atari-gmp","[""atari_ddqn_gmp_sweep"",""Breakout-v5"",""1"",""ALE/Breakout-v5"",""0.9"",""sparsity-0.9""]","","","","",""
"atari_ddqn_gmp_sweep-Pong-v5-S60-s1","finished","-","","0.6, 1, ALE/Pong-v5, Pong-v5, atari_ddqn_gmp_sweep, sparsity-0.6","2026-01-14T10:15:37.000Z","2026-01-14T18:15:36.000Z","28799","","32","0.2","0.05","1","0.99","80000","ddqn","nature_cnn","linear","512","1e-8","0.0001","adam","5000","1","4","cuda","false","true","4","true","ALE/Pong-v5","30","1","84","false","false","1e-8","0.0001","adam","../models","6000000","0.6","0","gmp","cubic","1000000","10000","1","1000000","100000","100","10000000","10","true","atari_ddqn_gmp_sweep","train","atari_ddqn_gmp_sweep-Pong-v5-S60-s1","atari-gmp","[""atari_ddqn_gmp_sweep"",""Pong-v5"",""1"",""ALE/Pong-v5"",""0.6"",""sparsity-0.6""]","","","","",""
"atari_ddqn_gmp_sweep-Pong-v5-S75-s1","finished","-","","0.75, 1, ALE/Pong-v5, Pong-v5, atari_ddqn_gmp_sweep, sparsity-0.75","2026-01-14T12:45:56.000Z","2026-01-14T20:44:10.000Z","28694","","32","0.2","0.05","1","0.99","80000","ddqn","nature_cnn","linear","512","1e-8","0.0001","adam","5000","1","4","cuda","false","true","4","true","ALE/Pong-v5","30","1","84","false","false","1e-8","0.0001","adam","../models","6000000","0.75","0","gmp","cubic","1000000","10000","1","1000000","100000","100","10000000","10","true","atari_ddqn_gmp_sweep","train","atari_ddqn_gmp_sweep-Pong-v5-S75-s1","atari-gmp","[""atari_ddqn_gmp_sweep"",""Pong-v5"",""1"",""ALE/Pong-v5"",""0.75"",""sparsity-0.75""]","","","","",""
"atari_ddqn_gmp_sweep-Pong-v5-S90-s1","finished","-","","0.9, 1, ALE/Pong-v5, Pong-v5, atari_ddqn_gmp_sweep, sparsity-0.9","2026-01-14T13:51:47.000Z","2026-01-14T21:44:37.000Z","28370","","32","0.2","0.05","1","0.99","80000","ddqn","nature_cnn","linear","512","1e-8","0.0001","adam","5000","1","4","cuda","false","true","4","true","ALE/Pong-v5","30","1","84","false","false","1e-8","0.0001","adam","../models","6000000","0.9","0","gmp","cubic","1000000","10000","1","1000000","100000","100","10000000","10","true","atari_ddqn_gmp_sweep","train","atari_ddqn_gmp_sweep-Pong-v5-S90-s1","atari-gmp","[""atari_ddqn_gmp_sweep"",""Pong-v5"",""1"",""ALE/Pong-v5"",""0.9"",""sparsity-0.9""]","","","","",""
"atari_ddqn_gmp_sweep-SpaceInvaders-v5-S75-s1","finished","-","","0.75, 1, ALE/SpaceInvaders-v5, SpaceInvaders-v5, atari_ddqn_gmp_sweep, sparsity-0.75","2026-01-14T16:41:05.000Z","2026-01-15T00:44:56.000Z","29031","","32","0.2","0.05","1","0.99","80000","ddqn","nature_cnn","linear","512","1e-8","0.0001","adam","5000","1","4","cuda","false","true","4","true","ALE/SpaceInvaders-v5","30","1","84","false","false","1e-8","0.0001","adam","../models","6000000","0.75","0","gmp","cubic","1000000","10000","1","1000000","100000","100","10000000","10","true","atari_ddqn_gmp_sweep","train","atari_ddqn_gmp_sweep-SpaceInvaders-v5-S75-s1","atari-gmp","[""atari_ddqn_gmp_sweep"",""SpaceInvaders-v5"",""1"",""ALE/SpaceInvaders-v5"",""0.75"",""sparsity-0.75""]","","","","",""
"atari_ddqn_gmp_sweep-SpaceInvaders-v5-S90-s1","finished","-","","0.9, 1, ALE/SpaceInvaders-v5, SpaceInvaders-v5, atari_ddqn_gmp_sweep, sparsity-0.9","2026-01-14T16:41:05.000Z","2026-01-15T00:30:22.000Z","28157","","32","0.2","0.05","1","0.99","80000","ddqn","nature_cnn","linear","512","1e-8","0.0001","adam","5000","1","4","cuda","false","true","4","true","ALE/SpaceInvaders-v5","30","1","84","false","false","1e-8","0.0001","adam","../models","6000000","0.9","0","gmp","cubic","1000000","10000","1","1000000","100000","100","10000000","10","true","atari_ddqn_gmp_sweep","train","atari_ddqn_gmp_sweep-SpaceInvaders-v5-S90-s1","atari-gmp","[""atari_ddqn_gmp_sweep"",""SpaceInvaders-v5"",""1"",""ALE/SpaceInvaders-v5"",""0.9"",""sparsity-0.9""]","","","","",""
"atari_ddqn_gmp_sweep-Breakout-v5-S60-s2","finished","-","","0.6, 2, ALE/Breakout-v5, Breakout-v5, atari_ddqn_gmp_sweep, sparsity-0.6","2026-01-14T16:41:05.000Z","2026-01-15T00:51:10.000Z","29405","","32","0.2","0.05","1","0.99","80000","ddqn","nature_cnn","linear","512","1e-8","0.0001","adam","5000","1","4","cuda","false","true","4","true","ALE/Breakout-v5","30","1","84","false","false","1e-8","0.0001","adam","../models","6000000","0.6","0","gmp","cubic","1000000","10000","2","1000000","100000","100","10000000","10","true","atari_ddqn_gmp_sweep","train","atari_ddqn_gmp_sweep-Breakout-v5-S60-s2","atari-gmp","[""atari_ddqn_gmp_sweep"",""Breakout-v5"",""2"",""ALE/Breakout-v5"",""0.6"",""sparsity-0.6""]","","","","",""
"atari_ddqn_gmp_sweep-Breakout-v5-S75-s2","finished","-","","0.75, 2, ALE/Breakout-v5, Breakout-v5, atari_ddqn_gmp_sweep, sparsity-0.75","2026-01-14T16:41:05.000Z","2026-01-15T01:04:10.000Z","30185","","32","0.2","0.05","1","0.99","80000","ddqn","nature_cnn","linear","512","1e-8","0.0001","adam","5000","1","4","cuda","false","true","4","true","ALE/Breakout-v5","30","1","84","false","false","1e-8","0.0001","adam","../models","6000000","0.75","0","gmp","cubic","1000000","10000","2","1000000","100000","100","10000000","10","true","atari_ddqn_gmp_sweep","train","atari_ddqn_gmp_sweep-Breakout-v5-S75-s2","atari-gmp","[""atari_ddqn_gmp_sweep"",""Breakout-v5"",""2"",""ALE/Breakout-v5"",""0.75"",""sparsity-0.75""]","","","","",""
